PM2_5,PM10,Temp,Hum,Hum_Ref,Temp_Ref,PM2_5_Ref
18.0,20.0,34.9,69.0,83.1,31.92,24.55614
23.0,29.0,35.0,67.0,90.7,32.07,24.92888
17.0,19.0,35.0,66.0,89.3,32.05,17.96894
11.0,13.0,34.7,66.0,89.2,31.8,15.70308
9.0,10.0,34.6,77.0,98.4,30.71,13.01932
6.0,6.0,28.7,79.0,99.9,29.2,10.51889
19.0,21.0,26.5,94.0,100.0,28.71,20.25479
21.0,23.0,29.5,90.0,97.2,30.12,21.8161
17.0,19.0,32.0,82.0,89.3,30.81,19.23001
13.0,14.0,34.3,74.0,85.3,32.62,17.46673
15.0,17.0,34.9,71.0,85.3,32.5,17.7121
11.0,12.0,35.0,71.0,83.1,32.87,14.59683
3.0,3.0,35.0,60.0,74.92,32.05,7.254849
6.0,6.0,34.8,60.0,76.2,32.17,7.31719
3.0,3.0,35.0,59.0,75.28,32.07,7.577885
5.0,5.0,34.7,70.0,84.7,31.63,8.383805
8.0,9.0,27.9,81.0,93.8,29.38,9.419751
16.0,18.0,24.9,87.0,100.0,28.44,14.69643
10.0,11.0,24.8,94.0,100.0,27.44,13.62099
11.0,12.0,27.8,93.0,99.0,28.58,13.92805
11.0,12.0,32.6,86.0,93.1,30.64,15.6285
14.0,15.0,34.4,77.0,85.0,31.56,14.96309
22.0,24.0,34.6,71.0,82.6,32.17,13.2907
6.0,6.0,35.0,65.0,80.8,32.54,9.623883
7.0,7.0,35.0,66.0,82.3,32.29,9.22673
6.0,6.0,32.4,68.0,85.0,31.51,7.696016
5.0,5.0,31.0,71.0,87.2,30.47,7.770246
7.0,7.0,31.4,77.0,96.3,30.2,9.598623
34.0,38.0,27.9,87.0,99.7,28.54,25.64863
6.0,6.0,25.5,93.0,99.7,27.83,8.846513
4.0,4.0,26.2,88.0,97.0,28.13,7.26868
6.0,6.0,32.5,76.0,86.8,30.94,8.970212
6.0,6.0,33.1,76.0,90.9,30.76,8.896104
6.0,6.0,28.9,76.0,98.6,29.59,9.496861
36.0,40.0,25.1,96.5,98.5,27.6,35.55779
7.0,8.0,33.5,66.0,80.6,32.39,12.98539
7.0,9.0,33.2,68.0,87.5,32.05,12.33575
8.0,9.0,32.8,76.0,95.2,30.43,13.04648
10.0,11.0,29.7,85.0,100.0,29.41,13.11398
25.0,28.0,31.0,96.0,100.0,30.47,26.38566
23.0,26.0,32.6,84.0,92.4,31.56,24.94071
23.0,26.0,34.5,76.0,86.0,32.15,27.36789
22.0,24.0,34.05,72.0,82.5,33.1,27.62477
9.0,10.0,35.0,67.0,78.63,33.14,16.15813
8.0,9.0,34.6,64.0,80.6,32.84,12.74092
7.0,9.0,33.7,66.0,85.3,32.1,12.10326
8.0,9.0,33.05,68.0,88.9,31.63,10.64558
8.0,9.0,33.3,74.0,95.6,30.68,10.77723
8.0,9.0,29.7,82.0,100.0,29.29,11.083
17.0,19.0,29.9,95.0,99.8,30.8,18.1268
15.0,17.0,33.3,86.0,90.5,31.82,18.85191
18.5,20.5,35.0,74.0,81.7,33.06,24.77881
23.0,27.0,35.0,67.0,81.8,33.25,26.89992
16.0,18.0,34.9,68.0,84.5,33.03,17.87236
11.0,14.0,34.7,66.0,83.2,32.75,13.6656
9.5,10.5,34.2,66.0,85.1,32.7,12.32774
11.0,12.0,34.8,66.0,90.8,32.23,12.25488
10.0,11.0,33.9,73.0,97.0,31.15,11.91799
12.0,13.0,30.5,80.0,100.0,29.6,12.49312
21.0,23.0,28.5,97.0,99.6,30.4,20.27148
