PM2_5,PM10,Temp,Hum,Hum_Ref,Temp_Ref,PM2_5_Ref
4.0,4.0,28.9,73.0,93.5,29.62,7.703474
4.0,4.0,29.0,73.0,94.3,29.48,7.682008
3.0,3.0,29.0,73.0,94.8,29.49,7.704088
3.0,3.0,29.1,72.0,94.2,29.48,7.819925
3.5,3.5,29.2,72.0,94.7,29.33,7.843096
3.0,3.0,29.2,71.0,95.4,29.27,7.848667
3.0,3.0,29.2,72.0,95.0,29.22,7.909847
4.0,4.0,29.2,72.0,95.7,29.26,7.99186
3.0,3.0,29.2,72.0,96.3,29.34,8.174624
3.0,3.0,29.1,72.0,95.8,29.44,8.275187
3.0,3.0,29.0,72.0,96.0,29.4,8.334482
5.0,5.0,29.0,72.0,95.3,29.43,8.323088
3.0,3.0,29.0,72.0,95.0,29.48,8.461863
4.0,4.0,28.9,73.0,94.8,29.47,8.444862
4.0,4.0,28.9,74.0,93.8,29.43,8.469869
4.0,4.0,28.9,74.0,93.5,29.48,8.444012
3.0,3.0,28.8,73.0,92.8,29.54,8.387431
3.0,3.0,28.8,73.0,93.0,29.54,8.355518
5.0,5.0,28.8,74.0,92.6,29.61,8.353312
4.0,4.0,28.8,73.0,92.4,29.54,8.261121
4.0,4.0,28.8,73.0,92.9,29.55,8.175426
3.0,3.0,28.7,72.0,92.6,29.69,8.138595
3.0,3.0,28.7,72.0,92.8,29.73,8.197715
4.0,5.0,28.7,72.0,92.6,29.68,8.330483
3.0,3.0,28.6,73.0,92.5,29.58,8.302855
4.0,4.0,28.7,73.0,93.4,29.58,8.39627
4.0,4.0,28.6,72.0,93.6,29.54,8.405138
4.0,4.0,28.6,73.0,93.4,29.43,8.482965
4.0,4.0,28.5,73.0,94.5,29.5,8.737324
4.0,4.0,28.6,74.0,93.2,29.57,8.887609
3.0,3.0,28.6,73.0,93.1,29.64,8.979556
4.0,4.0,28.6,74.0,93.3,29.75,9.032637
4.0,4.0,28.6,73.0,92.8,29.77,9.058143
4.0,4.0,28.6,73.0,93.1,29.73,9.011935
4.0,4.0,28.6,73.0,93.0,29.71,8.850944
4.0,4.0,28.6,73.0,93.1,29.74,8.785777
4.0,4.0,28.6,74.0,92.9,29.77,8.728641
4.0,4.0,28.6,74.0,92.8,29.62,8.713622
4.0,4.0,28.7,73.0,93.0,29.58,8.675181
4.0,4.0,28.7,73.0,93.1,29.52,8.574445
3.0,3.0,28.8,73.0,93.2,29.53,8.460773
4.0,4.0,28.9,73.0,93.6,29.51,8.394122
5.0,5.0,28.9,73.0,93.6,29.46,8.320931
4.0,4.0,29.0,72.0,94.1,29.5,8.273866
3.0,3.0,29.0,72.0,92.9,29.58,8.306227
3.0,3.0,29.0,72.0,92.1,29.63,8.363558
4.0,4.0,29.0,72.0,93.0,29.69,8.346267
2.0,2.0,29.0,72.0,92.5,29.78,8.334646
2.0,2.0,29.0,72.0,92.2,29.87,8.342299
4.0,4.0,29.0,72.0,91.2,29.89,8.352637
3.0,3.0,29.0,72.0,91.6,29.86,8.241666
3.0,3.0,29.0,72.0,91.6,29.96,8.19173
3.0,3.0,29.1,72.0,91.5,30.11,8.06184
3.0,3.0,29.2,72.0,91.0,30.15,8.036991
2.0,2.0,29.4,71.0,91.9,29.92,8.047801
4.0,4.0,29.4,71.0,92.3,29.96,8.121054
3.0,3.0,29.4,71.0,92.8,30.0,8.164429
3.0,3.0,29.5,71.0,93.1,30.03,8.303857
4.0,4.0,29.5,71.0,92.2,30.03,8.44242
4.0,4.0,29.6,71.0,91.4,30.05,8.49771
4.0,4.0,29.6,71.0,90.5,30.1,8.566309
4.0,4.0,29.6,71.0,91.6,30.2,8.623877
4.0,4.0,29.7,71.0,91.1,30.28,8.648297
5.0,5.0,29.7,71.0,90.0,30.22,8.603221
4.0,4.0,29.7,71.0,90.6,30.19,8.589346
3.0,3.0,29.7,71.0,90.0,30.11,8.528117
5.0,5.0,29.6,70.0,91.3,30.09,8.424214
2.0,2.0,29.6,71.0,91.4,30.15,8.317192
3.0,3.0,29.7,71.0,91.1,30.2,8.154552
3.0,3.0,29.7,70.0,90.4,30.21,8.047025
2.0,2.0,29.7,70.0,89.2,30.27,7.989028
4.0,4.0,29.8,70.0,88.1,30.24,7.835358
4.0,4.0,29.8,70.0,88.8,30.23,7.715137
4.0,4.0,29.8,71.0,88.2,30.34,7.607885
3.0,3.0,29.9,70.0,87.6,30.41,7.548012
3.0,3.0,29.9,70.0,88.5,30.54,7.578935
2.0,2.0,29.9,70.0,87.9,30.54,7.677954
2.0,2.0,29.9,70.0,88.7,30.31,7.787054
2.0,2.0,30.0,69.0,89.1,30.17,7.844883
3.0,3.0,29.9,69.0,89.6,30.12,7.999825
3.0,3.0,29.9,69.0,89.1,30.26,8.083375
3.0,3.0,29.9,69.0,89.2,30.4,8.214244
4.0,4.0,29.9,70.0,88.9,30.52,8.342429
5.0,5.0,29.9,69.0,88.4,30.47,8.500878
4.0,4.0,29.8,70.0,88.8,30.44,8.705173
4.0,4.0,29.6,70.0,88.5,30.48,8.747964
4.0,4.0,29.6,71.0,88.2,30.49,8.778498
4.0,4.0,29.5,70.0,88.3,30.26,8.763377
5.0,5.0,29.5,70.0,89.1,30.18,8.68382
4.0,4.0,29.5,71.0,89.4,30.2,8.612226
4.0,4.0,29.7,71.0,90.2,30.3,8.482118
3.0,3.0,29.7,70.0,90.1,30.56,8.405215
3.0,3.0,29.8,70.0,88.9,30.66,8.255032
4.0,4.0,29.8,70.0,87.3,30.68,8.193479
4.0,4.0,29.9,69.0,86.3,30.43,8.038245
4.0,4.0,29.9,70.0,88.3,30.35,7.83847
4.0,4.0,29.8,69.0,88.1,30.6,7.676722
2.0,2.0,29.8,70.0,85.6,30.64,7.58965
4.0,4.0,29.8,71.0,85.8,30.65,7.584352
3.0,3.0,29.8,69.5,85.5,30.81,7.465438
2.0,2.0,29.75,69.0,85.2,31.15,7.507994
3.0,3.0,29.7,69.0,84.3,31.02,7.572999
3.0,3.0,29.7,69.0,86.3,30.91,7.591459
2.0,2.0,29.7,69.0,84.8,31.05,7.573517
2.0,2.0,29.7,69.0,85.7,31.31,7.638204
4.0,4.0,29.8,70.0,84.8,31.12,7.677538
3.0,3.0,29.9,70.0,84.7,30.77,7.648775
4.0,4.0,30.0,69.0,86.6,30.38,7.703257
2.5,2.5,30.0,69.0,85.9,30.52,7.783066
3.0,3.0,30.0,69.0,87.8,30.41,7.77236
2.0,2.0,30.0,68.0,88.2,30.65,7.779814
3.0,3.0,30.0,68.0,87.6,30.92,7.727545
2.0,2.0,30.0,68.0,85.3,31.08,7.712329
4.0,4.0,29.9,70.0,85.0,31.1,7.675739
3.0,3.0,29.8,69.0,85.8,30.87,7.666758
3.0,3.0,29.75,69.5,85.6,30.87,7.592295
3.0,3.0,29.8,70.0,85.4,30.99,7.234463
2.0,2.0,29.8,70.0,85.9,30.98,7.093817
2.0,2.0,29.9,69.5,86.3,30.77,6.942622
2.0,2.0,30.0,70.0,88.1,30.48,6.741268
3.0,3.0,30.0,69.0,88.5,30.57,6.717287
2.0,2.0,30.1,68.5,87.3,30.62,6.689377
2.0,2.0,30.2,68.0,86.9,30.46,6.642272
2.0,2.0,30.3,68.0,87.6,30.26,6.654696
1.0,1.0,30.2,68.0,88.6,30.16,6.741969
2.0,2.0,30.3,69.0,88.3,30.26,6.924894
2.5,2.5,30.2,69.0,88.4,30.52,6.974382
2.5,2.5,30.1,68.0,86.2,30.6,6.894005
1.0,1.0,30.0,69.0,86.5,30.52,6.883173
2.0,2.0,29.9,69.0,87.8,30.73,6.872056
2.0,2.0,29.8,69.0,87.9,31.02,6.871975
2.0,2.0,29.7,70.0,86.8,31.27,6.931707
1.0,1.0,29.7,69.0,85.3,31.05,6.973608
2.0,2.0,29.7,69.0,85.4,30.79,6.894994
1.0,1.0,29.7,69.0,86.8,30.59,6.928719
1.0,1.0,29.8,70.0,87.7,30.42,6.939648
3.0,3.0,29.9,70.0,87.9,30.2,7.080463
2.0,2.0,30.0,71.0,88.7,30.13,7.18499
3.0,3.0,30.1,69.0,89.5,30.15,7.334263
2.0,2.0,30.2,68.0,89.1,30.25,7.417685
3.0,3.0,30.2,68.0,89.5,30.24,7.639603
3.0,3.0,30.2,68.0,90.3,30.18,7.658546
2.0,2.0,30.1,69.0,89.3,30.08,7.610932
2.0,2.0,30.0,69.0,90.4,29.95,7.519737
3.0,3.0,29.9,70.0,91.1,29.88,7.475438
2.0,2.0,29.8,70.0,91.4,29.87,7.418876
4.0,4.0,29.7,70.0,91.7,29.95,7.380402
2.0,2.0,29.7,70.0,90.6,29.98,7.33034
2.0,2.0,29.6,70.0,90.4,30.13,7.317581
1.0,1.0,29.5,70.0,88.7,30.22,7.243289
1.0,1.0,29.5,71.0,88.5,30.12,7.224537
2.0,2.0,29.5,71.0,88.8,30.11,7.156756
3.0,3.0,29.4,71.0,89.2,29.88,7.04166
4.0,4.0,29.3,71.0,90.5,29.71,7.073725
4.0,4.0,29.2,71.0,90.1,29.64,7.194334
3.0,3.0,29.2,71.0,90.5,29.52,7.207082
3.0,3.0,29.1,70.0,91.5,29.54,7.197795
3.0,3.0,29.2,71.0,91.0,29.67,7.150295
1.0,1.0,29.1,71.0,91.1,29.84,7.035961
1.0,1.0,29.0,71.0,89.8,29.84,6.973652
1.0,1.0,29.0,71.0,90.5,29.81,6.930786
2.0,2.0,28.9,71.0,90.2,29.85,6.946876
2.0,2.0,28.7,72.0,91.2,30.0,6.988371
1.0,1.0,28.6,72.0,89.1,29.96,7.051656
2.0,2.0,28.5,72.0,89.7,29.95,7.071592
2.0,2.0,28.6,73.0,90.8,30.05,7.101881
1.0,1.0,28.5,73.0,90.0,30.21,7.192271
2.0,2.0,28.5,73.0,89.5,30.43,7.387016
2.0,2.0,28.55,72.5,89.8,30.55,7.46973
4.0,4.0,28.5,72.0,88.7,30.65,7.731264
3.0,3.0,28.6,73.0,87.7,30.58,7.730944
3.0,3.0,28.6,73.0,88.7,30.4,7.772667
4.0,4.0,28.7,73.0,88.5,30.22,7.693329
4.0,4.0,28.8,74.0,89.8,30.03,7.629156
4.0,4.0,28.9,73.0,88.9,30.0,7.569498
4.0,4.0,29.0,72.0,88.2,29.97,7.379753
3.0,3.0,29.2,73.0,88.7,30.0,7.23696
4.0,4.0,29.2,72.0,89.5,30.08,7.078948
2.0,2.0,29.3,71.0,89.4,30.2,7.029972
1.0,1.0,29.4,70.0,89.0,30.21,6.856941
4.0,4.0,29.3,71.0,88.3,30.23,6.788165
3.0,3.0,29.3,71.0,88.4,30.09,6.769315
2.0,2.0,29.3,70.0,89.0,29.97,6.753094
1.0,1.0,29.2,71.0,88.5,30.03,6.77854
2.0,2.0,29.2,71.0,88.5,30.1,6.737417
1.0,1.0,29.2,71.0,88.4,30.02,6.716233
2.0,2.0,29.2,71.0,89.0,29.98,6.77887
3.0,3.0,29.2,71.0,88.4,30.07,6.841972
2.0,2.0,29.1,71.0,88.0,30.12,6.75231
3.0,3.0,29.0,71.0,88.3,30.2,6.73114
2.0,2.0,29.0,71.0,88.5,30.44,6.735415
2.0,2.0,28.9,72.0,86.7,30.5,6.703093
2.0,2.0,28.8,71.0,86.9,30.41,6.67481
2.0,2.0,28.8,72.0,86.2,30.36,6.597076
3.0,3.0,28.7,72.0,87.1,30.36,6.569265
3.0,3.0,28.7,72.0,86.3,30.4,6.5577
2.0,2.0,28.7,72.0,86.1,30.25,6.544921
3.0,3.0,28.8,72.0,88.1,29.99,6.566366
3.0,3.0,28.9,71.0,89.1,29.82,6.552001
1.0,1.0,28.9,71.0,89.5,29.8,6.576608
3.0,3.0,29.0,71.0,89.4,29.86,6.625655
4.0,4.0,29.0,71.0,89.4,29.98,6.647652
2.0,2.0,29.0,71.0,89.4,30.02,6.626303
2.0,2.0,29.0,71.0,88.3,30.13,6.625914
2.0,2.0,28.9,71.0,88.4,30.06,6.583817
2.0,2.0,28.8,71.0,88.3,30.08,6.606257
3.0,3.0,28.7,72.0,88.5,30.01,6.52908
2.0,2.0,28.6,72.0,88.2,29.97,6.455975
