DataDate,PM2_5,PM10,Temp,Hum,Hum_Ref,Temp_Ref,PM2_5_Ref
2023-10-02 08:00:00,6.0,6.0,27.7,78.75,98.375,28.56,9.3192645
2023-10-02 09:00:00,4.254237288135593,4.288135593220339,28.92966101694915,72.38983050847457,95.90508474576271,29.134745762711866,9.302495745762712
2023-10-02 10:00:00,5.3076923076923075,5.371794871794871,27.284615384615382,78.67948717948718,96.95641025641027,28.898205128205127,9.860403948717948
2023-10-02 11:00:00,3.56140350877193,3.5789473684210527,28.81842105263158,72.84210526315789,93.52456140350877,29.58859649122807,8.292480105263158
2023-10-02 12:00:00,3.381818181818182,3.381818181818182,29.686363636363637,70.22727272727273,89.02909090909091,30.383090909090907,8.117753981818183
2023-10-02 13:00:00,2.3679245283018866,2.3679245283018866,29.829245283018867,69.44339622641509,88.18867924528301,30.374905660377358,7.21704075471698
2023-10-02 14:00:00,2.3214285714285716,2.3214285714285716,28.85892857142857,71.72321428571429,88.58214285714287,30.125535714285714,6.848054785714285
2023-10-02 15:00:00,2.1052631578947367,2.1052631578947367,27.794736842105262,75.3157894736842,91.81403508771929,29.423859649122807,6.837117070175438
2023-10-02 16:00:00,3.3157894736842106,3.3508771929824563,26.005263157894735,81.91228070175438,97.71052631578948,28.411578947368422,7.882560298245614
2023-10-02 17:00:00,4.214285714285714,4.571428571428571,24.97142857142857,85.42857142857143,98.61428571428571,28.030714285714286,8.8751905
2023-10-03 08:00:00,3.933333333333333,3.933333333333333,26.30666666666667,81.4,98.28,28.651333333333334,8.3533046
2023-10-03 09:00:00,3.7058823529411766,3.823529411764706,27.894117647058824,75.94117647058823,97.82941176470588,28.554117647058824,8.297905882352941
2023-10-03 12:00:00,2.1875,2.1875,26.95625,80.0625,98.875,28.486250000000002,6.625955
2023-10-03 13:00:00,2.355769230769231,2.375,26.54326923076923,80.20192307692308,97.2826923076923,28.448461538461537,6.82852425
2023-10-03 14:00:00,2.611111111111111,2.611111111111111,25.755555555555556,82.94444444444444,99.28333333333333,27.97722222222222,6.8533381111111105
2023-10-03 16:00:00,3.3333333333333335,3.3333333333333335,24.266666666666666,87.0,99.7,27.46666666666667,8.096557666666667
2023-10-03 17:00:00,2.8461538461538463,2.8461538461538463,24.292307692307695,85.6923076923077,98.94615384615385,27.433846153846154,8.357351384615384
2023-10-04 08:00:00,6.927083333333333,7.197916666666667,27.756249999999998,73.85416666666667,96.36458333333333,28.35229166666667,13.257640833333333
2023-10-04 09:00:00,4.576923076923077,4.625,29.56153846153846,68.6826923076923,89.10769230769232,29.841153846153848,10.473727115384616
2023-10-04 10:00:00,5.446428571428571,5.625,30.679464285714285,65.83035714285714,87.19464285714285,30.43017857142857,10.608907053571428
2023-10-04 11:00:00,5.796296296296297,5.851851851851852,30.85185185185185,66.66666666666667,85.41851851851852,31.252962962962965,12.152407407407408
2023-10-04 12:00:00,3.981818181818182,4.0,31.29181818181818,64.94545454545455,81.72090909090909,31.90690909090909,10.077585
2023-10-04 13:00:00,3.6607142857142856,3.6785714285714284,31.11785714285714,65.89285714285714,81.46982142857144,32.11535714285714,8.402425053571429
2023-10-04 14:00:00,2.711864406779661,2.7288135593220337,30.2,68.20338983050847,82.63559322033899,31.593898305084746,8.26346893220339
2023-10-04 15:00:00,2.0972222222222223,2.0972222222222223,29.00416666666667,70.72222222222223,84.13055555555555,31.07222222222222,6.998049277777778
2023-10-04 16:00:00,1.9051724137931034,1.9051724137931034,28.24137931034483,73.51724137931035,87.75172413793103,30.309655172413795,6.243095051724138
2023-10-04 17:00:00,2.3095238095238093,2.3095238095238093,26.26904761904762,80.07142857142857,94.63095238095238,28.607142857142858,6.564244095238096
2023-10-05 12:00:00,9.511904761904763,10.452380952380953,28.344047619047622,74.5,97.49047619047619,28.802380952380954,16.075894523809524
2023-10-05 13:00:00,7.078947368421052,7.517543859649122,29.78859649122807,69.6140350877193,92.4578947368421,29.819122807017546,13.238260877192982
2023-10-05 14:00:00,9.945454545454545,10.681818181818182,29.747272727272726,70.2909090909091,92.03818181818183,30.15418181818182,14.337221818181817
2023-10-05 15:00:00,6.205882352941177,6.362745098039215,28.886274509803922,71.72549019607843,89.96666666666667,30.18901960784314,13.195595294117647
2023-10-05 16:00:00,4.0181818181818185,4.0181818181818185,27.618181818181817,76.12727272727273,94.34,29.241818181818182,9.188737854545455
2023-10-05 17:00:00,4.5,4.5,26.5,81.0,99.5,28.22,8.9209695
2023-10-06 08:00:00,13.704545454545455,15.147727272727273,28.69090909090909,72.3409090909091,96.00454545454545,28.861136363636366,19.837566818181816
2023-10-06 09:00:00,8.20754716981132,8.962264150943396,29.46981132075472,69.5754716981132,88.75849056603774,30.172641509433966,15.084523773584907
2023-10-06 10:00:00,6.422413793103448,6.543103448275862,31.721551724137928,61.86206896551724,82.54741379310344,31.033103448275863,13.512124310344827
2023-10-06 11:00:00,8.618181818181819,9.518181818181818,31.81090909090909,60.88181818181818,78.93036363636364,31.79909090909091,15.852880727272728
2023-10-06 12:00:00,7.267857142857143,7.75,31.314285714285713,63.839285714285715,78.84107142857144,32.52125,14.911282857142856
2023-10-06 13:00:00,4.559322033898305,4.593220338983051,31.166101694915252,63.33898305084746,77.03949152542373,32.53254237288136,11.220444389830508
2023-10-06 14:00:00,2.2244897959183674,2.2244897959183674,30.698979591836736,64.35714285714286,77.49326530612245,32.133877551020404,8.597637163265306
2023-10-06 15:00:00,2.1132075471698113,2.1132075471698113,29.55,67.70754716981132,80.41943396226414,31.473584905660374,7.346918528301887
